pitId,raceId,driverId,stop,lap,duration
1,841,153,1,1,26.898
2,841,30,1,1,25.021
3,841,17,1,11,23.426
4,841,4,1,12,23.251
5,841,13,1,13,23.842
6,841,22,1,13,23.643
7,841,20,1,14,22.603
8,841,814,1,14,24.863
9,841,816,1,14,25.259
10,841,67,1,15,25.342
11,841,2,1,15,22.994
12,841,1,1,16,23.227
13,841,808,1,16,24.535
14,841,3,1,16,23.716
15,841,155,1,16,24.064
16,841,16,1,16,25.978
17,841,15,1,16,24.899
18,841,18,1,17,16.867
19,841,153,2,17,24.463
20,841,5,1,17,24.865
21,841,30,2,17,23.988
22,841,10,1,18,23.792
23,841,18,2,19,23.303
24,841,815,1,23,23.438
25,841,22,2,23,37.856
26,841,17,2,26,22.520
27,841,4,2,27,24.733
28,841,22,3,28,16.892
29,841,67,2,29,23.100
30,841,2,2,30,25.098
31,841,13,2,31,24.500
32,841,155,2,32,24.192
33,841,20,2,36,24.036
34,841,1,2,36,23.199
35,841,153,3,35,26.348
36,841,808,2,36,25.683
37,841,814,2,36,24.332
38,841,18,3,37,22.681
39,841,16,2,37,23.871
40,841,15,2,37,24.848
41,841,816,2,38,26.446
42,841,17,3,41,26.230
43,841,22,4,40,26.309
44,841,4,3,42,24.181
45,841,13,3,48,24.095
46,842,16,1,3,31.694
47,842,22,1,3,32.978
48,842,17,1,10,22.572
49,842,814,1,11,22.773
50,842,1,1,12,22.552
51,842,20,1,13,23.019
52,842,2,1,13,23.900
53,842,18,1,13,22.400
54,842,13,1,13,29.224
55,842,15,1,13,25.516
56,842,4,1,14,23.152
57,842,30,1,14,22.576
58,842,808,1,15,23.182
59,842,67,1,15,23.280
60,842,3,1,15,24.967
61,842,5,1,15,29.084
62,842,153,1,16,23.584
63,842,16,2,16,22.046
64,842,155,1,17,23.280
65,842,815,1,17,23.597
66,842,10,1,17,24.617
67,842,816,1,17,26.252
68,842,24,1,17,27.815
69,842,22,2,17,24.502
70,842,67,2,20,29.843
71,842,17,2,22,21.991
72,842,18,2,23,22.471
73,842,1,2,24,22.611
74,842,814,2,24,22.419
75,842,20,2,25,21.893
76,842,4,2,26,23.894
77,842,2,2,26,23.221
78,842,13,2,27,22.541
79,842,808,2,27,22.680
80,842,30,2,28,22.261
81,842,3,2,29,22.577
82,842,17,3,32,22.069
83,842,153,2,32,22.888
84,842,16,3,32,22.550
85,842,67,3,32,27.439
86,842,5,2,34,23.336
87,842,10,2,34,24.429
88,842,816,2,35,24.416
89,842,155,2,36,23.442
90,842,1,3,37,25.382
91,842,814,3,37,23.977
92,842,18,3,38,22.483
93,842,13,3,38,22.893
94,842,2,3,39,22.602
95,842,24,2,38,26.554
96,842,3,3,40,22.526
97,842,20,3,41,22.313
98,842,4,3,41,23.812
99,842,30,3,42,22.227
100,842,17,4,43,22.161
101,842,808,3,44,28.694
102,842,4,4,46,27.182
103,842,24,3,44,38.823
104,842,1,4,52,22.466
105,843,153,1,9,22.419
106,843,24,1,9,14.160
107,843,30,1,10,20.522
108,843,17,1,10,23.442
109,843,813,1,10,23.160
110,843,814,1,11,21.989
111,843,3,1,12,20.771
112,843,67,1,12,22.010
113,843,18,1,14,23.779
114,843,20,1,14,21.995
115,843,155,1,14,21.855
116,843,13,1,15,21.624
117,843,1,1,15,20.878
118,843,16,1,15,20.989
119,843,4,1,16,22.524
120,843,815,1,16,21.473
121,843,22,1,16,21.709
122,843,67,2,16,24.722
123,843,10,1,16,22.683
124,843,808,1,17,21.981
125,843,2,1,18,22.216
126,843,5,1,19,22.485
127,843,15,1,20,23.029
128,843,816,1,20,22.901
129,843,24,2,21,24.467
130,843,39,1,23,26.049
131,843,18,2,24,20.758
132,843,3,2,25,22.005
133,843,1,2,25,20.533
134,843,17,2,25,21.132
135,843,813,2,25,22.062
136,843,30,2,26,21.964
137,843,10,2,28,21.908
138,843,16,2,30,21.058
139,843,155,2,30,21.936
140,843,2,2,30,21.821
141,843,20,2,31,21.533
142,843,4,2,32,21.251
143,843,814,2,32,21.218
144,843,13,2,33,21.168
145,843,67,3,33,21.928
146,843,816,2,34,22.802
147,843,22,2,35,21.481
148,843,815,2,36,23.397
149,843,18,3,37,21.237
150,843,808,2,37,22.005
151,843,1,3,38,20.567
152,843,3,3,39,20.720
153,843,30,3,39,21.400
154,843,17,3,40,21.091
155,843,10,3,39,33.827
156,843,5,2,40,21.890
157,843,813,3,40,27.620
158,843,15,2,42,22.260
159,843,24,3,45,23.499
160,843,16,3,47,28.708
161,843,815,3,48,13.900
162,843,815,4,50,28.845
163,844,815,1,1,29.270
164,844,30,1,2,30.182
