"ano","pilotos","construtores","Grand_prix","Duração"
"2015","Maldonado","Lotus F1","Australian Grand Prix","12.897"
"2015","Nasr","Sauber","Australian Grand Prix","13"
"2015","Hamilton","Mercedes","Australian Grand Prix","13.173"
"2015","Maldonado","Lotus F1","Australian Grand Prix","13.186"
"2015","P泰rez","Force India","Australian Grand Prix","13.201"
"2015","Maldonado","Lotus F1","Australian Grand Prix","13.206"
"2015","Massa","Williams","Australian Grand Prix","13.259"
"2015","Maldonado","Lotus F1","Australian Grand Prix","13.266"
"2015","Vettel","Ferrari","Australian Grand Prix","13.335"
"2015","P泰rez","Force India","Australian Grand Prix","13.9"
