"ano","pilotos","construtores","Grand_prix","Duração"
"2013","Maldonado","Williams","Australian Grand Prix","12.897"
"2013","Hamilton","Mercedes","Australian Grand Prix","13.173"
"2013","Maldonado","Williams","Australian Grand Prix","13.186"
"2013","P泰rez","McLaren","Australian Grand Prix","13.201"
"2013","Maldonado","Williams","Australian Grand Prix","13.206"
"2013","Massa","Ferrari","Australian Grand Prix","13.259"
"2013","Maldonado","Williams","Australian Grand Prix","13.266"
"2013","Vettel","Red Bull","Australian Grand Prix","13.335"
"2013","P泰rez","McLaren","Australian Grand Prix","13.9"
"2013","Maldonado","Williams","Australian Grand Prix","13.925"
